"","True","Segmented","Rbeast","mcp","strucchange"
"167",267.089937,277.999995863472,323,322.358002299655,322
"168",228.526296,173.000017556453,314,238.922548856911,313
"169",247.117383,173.999996521292,209,246.203495491721,218
"170",273.066066,474.121294263782,250,335.969322699955,340
"171",224.386032,265.000001336513,316,277.438092040594,315
"172",267.206089,192.000000627067,217,286.304250533304,219
"173",257.529691,185.999997993798,217,218.128608379,314
"174",278.113992,445.999998654313,311,252.049895063502,310
"175",251.868307,170.000000692211,213,278.858135846841,212
"176",220.405809,438.999955791503,199,146.383581857634,146
"177",265.952892,279.999995573938,312,314.666359828198,311
"178",246.807164,69.9999794722459,214,215.436875907001,213
"179",278.36413,288.000000506815,317,315.543032805797,316
"180",251.547283,392.999966985307,349,335.607042364971,335
"181",244.495244,61.9999989565708,213,214.567927476415,212
"182",227.558663,51.0000624111428,213,247.096681312813,212
"183",246.877819,468.999999376453,304,292.358682500153,303
"184",261.019941,291.000001180081,214,294.428093449575,336
"185",278.243493,284.000002882619,153,292.369156415994,322
"186",275.852621,259.474367847322,308,273.208295618538,310
"187",239.17264,463.054321755294,334,248.245582700898,333
"188",260.930913,304.999996410129,334,236.546640404981,337
"189",248.529735,383.000022382701,347,281.848074601892,409
"190",258.429901,263.999999047674,304,238.879397979989,303
"191",233.599281,171.00000044708,314,274.339849500971,313
"192",272.507424,274.000002672829,316,278.695918251261,317
"193",232.719118,66.9999981744346,225,224.656660498878,224
"194",249.636606,467.000008510966,342,241.155795116232,341
"195",252.892911,387.999892571833,242,246.101425953691,411
"196",262.529322,193.999997995508,141,305.871688935566,307
"197",278.914167,389.999916204147,356,411.656707516933,415
"198",267.925832,176.999996337671,306,247.890376022527,305
"199",254.850807,165.512161050967,303,235.086504657195,296
"200",248.873699,270.99999743547,313,312.704695533153,312
"201",242.574959,278.999998063145,311,311.734374510635,426
"202",265.443308,281.000008380874,316,282.233390547267,315
"203",277.258773,287.000002283849,322,282.966645462303,321
"204",242.730713,161.000031666591,203,247.813399370534,202
"205",256.141918,285.000007143894,318,279.357416499985,319
"206",232.735214,378.999996071334,345,273.309216768964,402
"207",223.406464,277.000028231731,302,286.189500119703,311
"208",272.834109,274.999997710326,322,281.082900914999,321
"209",266.05224,178.000000154829,303,276.661941722801,302
"210",253.539934,176.555965303242,302,300.845084421606,301
"211",270.20719,305.000015178175,257,332.589854336299,334
"212",245.872908,267.000016066747,308,307.361484994897,307
"213",234.260978,276.999996718663,310,281.122294719621,426
"214",229.854542,473.000004475295,221,220.639180168335,222
"215",261.605482,421.999999029661,305,302.58514102278,304
"216",262.796517,180.999995029039,212,216.043991432715,331
"217",244.616308,266.638482880895,306,238.290191078152,305
"218",272.074911,466.116920331552,215,287.691145281062,331
"219",251.927579,476,86,215.842409510676,85
"220",240.916819,179.0000356043,332,249.247057548128,211
"221",239.622268,422.000003826669,311,271.778687666103,310
"222",234.318967,61.0000096526641,202,204.989809089118,204
"223",246.422339,174.000039031957,202,237.927056514672,305
"224",264.479237,275.999999845451,318,277.220088838627,317
"225",259.413095,275.999999979857,318,243.698632375215,317
"226",242.130463,265.999999589573,301,236.484823077162,312
"227",253.288409,449.999975213484,329,283.880480540726,315
"228",254.074084,269.99999870833,313,314.890546300336,312
"229",248.655248,280.999996129724,147,280.942782839334,309
"230",231.221301,65.0000006692221,197,237.5104025052,196
"231",254.085796,389.000007456501,347,233.965210219358,405
"232",232.398694,56.0000312361488,228,223.925278349055,224
"233",237.300043,54.0000008814381,236,231.976110178407,227
"234",240.64844,173.999985768727,208,211.841123300395,207
"235",239.83351,54.0000135192013,236,281.167819779812,226
"236",271.652349,292.000000512791,199,318.167129655274,315
"237",229.902445,56.0000086968597,221,261.831637466584,220
"238",274.171177,273.000000157083,210,285.700174098053,322
"239",230.900485,421.999968566068,202,241.508938179694,315
"240",242.815481,177.180425931954,319,315.515338158879,318
"241",265.462396,277.999982218416,312,314.275976652907,426
"242",255.968675,279.999963771519,315,316.231791430492,314
"243",264.963067,461.999999747161,327,255.452913402634,323
"244",265.014914,438.000006614554,261,271.231243275068,426
"245",260.701257,460.176044828796,331,251.505371785855,330
"246",272.313779,60.0000248460182,146,214.102967903282,321
"247",266.973724,283.000004232628,324,242.588365609146,323
"248",239.433911,155.999988903753,203,201.579500230117,202
"249",223.177197,66.9999754239538,214,212.42110584147,213
"250",262.579624,173.999997488992,316,283.705366856376,315
"251",247.962923,190.999999804435,223,266.221749422609,336
"252",245.831081,181.000000329622,212,280.033681031069,317
"253",272.897436,299.000000782135,261,234.065537211869,326
"254",264.786643,181.682812745366,213,249.552871724366,313
"255",256.205545,291.999979612569,332,228.376256637089,331
"256",252.846287,301.999968044057,267,330.373303032395,333
"257",267.840119,394.546307178982,277,236.586272813054,422
"258",227.351222,70.0000252411235,216,216.255260777246,215
"259",256.641106,277.596247199331,316,283.410638607509,315
