"","True","Segmented","Rbeast","mcp","strucchange","Ours"
"1",14.1298100479134,13.7415941484633,15,15.056375947493,15,14.1393095331436
"2",14.1144549334837,17.0314959852161,14.5,14.6731407181813,14.5,13.8173909543627
"3",18.4586146212655,20.999999446299,19,19.3786594389187,19,18.3255738162562
"4",19.1731213944234,25.0000028419525,20,20.329240131178,20,19.4963020019485
"5",14.6319397675192,7.99999635888805,16,15.8863027790342,15.5,14.6399069940855
"6",17.1763693927371,25.8240083591377,18,20.7517146708624,20.5,17.4784735587772
"7",15.9434107346926,17.1095785583331,16,16.8648808481851,16.5,15.7793150635531
"8",18.9542678463316,15.0000155834895,20,19.8480009279368,19.5,18.9436549864498
"9",14.3412716697251,9.9999484993416,15,15.278267222188,14.5,14.4032141339226
"10",14.0110013431571,15.0000055513858,10.5,15.9324718329524,15.5,14.9765238680708
"11",12.4008193132844,9.99998702380723,13.5,13.9198815203684,14,12.7457059459886
"12",15.9334674631404,14.0000790784128,17,16.7750900702583,16.5,16.0686089909683
"13",13.2395407826783,8.99999988411766,14,13.7638942452865,13.5,12.6190845758738
"14",16.4677969192703,24.9999992811087,17.5,17.3621887731273,17,16.5868458888915
"15",15.099179477247,24.0000038068059,15.5,22.2151286350155,27.5,15.1876991794456
"16",14.3109033798183,12.5678972386994,15.5,14.999259234082,15,13.267737950882
"17",15.8388815574862,14.9999971434838,17.5,17.0906824819732,17,16.1060014147375
"18",16.412952531259,21.281044712919,18,18.26673552214,18,16.9094232045158
"19",17.2300294540805,20.4417455372654,18,18.0920434781534,18,17.2441860179696
"20",15.4228549182767,11.999999954329,17,16.8603919176092,16.5,15.6823949318459
"21",15.354837769683,8.999997109186,13.5,14.0452184458926,13,12.7046807395522
"22",15.0988000595385,17.1973763243214,18,17.7740691404289,17.5,16.990716153309
"23",15.6808235279199,13.9999675870017,17,16.7295954461858,16.5,15.249409354199
"24",15.8337477913095,24.0000046351254,16.5,17.9165634471892,18,16.0758490177692
"25",15.6101958163112,20.9999998335318,17.5,18.9757722636952,19,17.2457552615842
"26",14.6819179871114,18.0000215435248,13,17.2055961349961,18,14.935201945528
"27",13.3449688707583,12.6569697335782,14,13.8461150787962,13.5,12.9967691531251
"28",13.6594458399699,11.000032028288,15.5,15.0075118642622,15,13.6868898405362
"29",15.9998123624372,16.000001150779,16,16.5228754061249,16.5,15.4966869474033
"30",14.5353796290365,22.0000048044172,16,16.0118829064762,15.5,15.309453321683
"31",17.5536888320052,22.0000114012841,19,18.9455872797742,19.5,18.3858655906025
"32",14.9036232990043,6,15.5,15.3852828117679,15,14.7168672804778
"33",17.4255163871593,19.9999859069988,19.5,19.5153262088441,19,18.3925005738767
"34",14.9542860077673,12.9999959308726,15.5,15.5517898367829,15.5,14.8359960601247
"35",16.7808796942568,14.0000022310275,15.5,15.900974499945,15.5,14.7402185258229
"36",16.2538118661819,16.000000037315,16.5,16.6174431497581,16.5,15.76847021796
"37",16.4778313725122,12.0000049464649,17.5,17.2553988354908,17,16.4943128393776
"38",13.0594500612797,14.0000147179559,11.5,14.0731468369301,13.5,13.0831764911881
"39",14.7165619320981,17.5724270645423,15.5,15.985768128896,15.5,14.9910452129465
"40",13.0394830748543,17.0000101474495,11.5,14.0347158868827,13,14.0442515093356
"41",13.1996679672612,15.0000095650646,13.5,14.2637821106257,14,12.9983468644175
"42",15.0407883630382,9.99994350304025,17,16.8550731022409,16.5,14.909790848159
"43",15.8455430917946,22.9999830412344,16.5,16.5354687931115,16.5,15.5230092028796
"44",15.4241422326523,19.9999938699534,15,15.4367582884504,14.5,13.933071937851
"45",13.670611636819,15.9999960673746,14.5,14.2742798453197,14,13.4943788606007
"46",15.3239605906742,15.9999992522641,17.5,17.0161855392448,17,15.1954265466546
"47",18.4142733869514,26.9999832215899,19,18.8043784096023,18.5,16.2671634464822
"48",15.999608773211,10.9999868429839,17,17.3593983216836,17,16.4964256618046
"49",16.1421650210723,14.6767228266277,17,16.8308829629801,16.5,15.8893390291671
"50",14.3962416178966,10.0002826415954,15,14.9061832560326,14.5,13.9927828737686
"51",17.6469127947714,29.9999977630389,18,29.999613163697,33,17.4988377504034
"52",16.764818459022,12.0000018051884,17,17.6753268246621,17,16.6065932847482
"53",18.1049119092556,15.6298966688989,18,18.0837948398788,18,16.2629127637361
"54",16.7647816926052,26.9995272873253,17,17.4094813413394,17,15.9998899499078
"55",15.8414724771308,15.0000034805559,16.5,16.372632083314,16,15.4982400962723
"56",17.0302812068125,14.1999060693729,17,17.1584364297314,17,16.4735254629497
"57",16.2222713303368,21.0000152469258,16.5,16.7916700735208,16.5,15.9977687747676
"58",16.1433746499548,15.0000001068744,16.5,16.618798785311,16,15.9971421668044
"59",12.123988209747,12.9999081139705,13,12.8771580188175,12.5,11.9981427349861
"60",14.9192508762165,15.0000078039825,15.5,15.7899679500864,15.5,14.8438288301045
"61",14.5994037604938,7.99998246954715,15,14.9089676130438,14.5,14.1921245976875
"62",16.4270298022699,12.9999924449837,17.5,17.0630258595642,17,15.6847778607064
"63",14.5915330534751,17.9999975907728,15,15.2787378962896,15,14.1621242009041
"64",16.9251333737198,23.1907479006684,15.5,21.716425403988,21.5,14.9217981092518
"65",16.8218713493252,8.00000624143182,15,15.0490571298048,14.5,13.9984591748472
"66",15.5688485394471,9.00000292081464,16,15.8027011807924,15.5,14.7030186176296
"67",15.1061456083166,18.0000030631783,16,15.8509727512349,15.5,15.0983167991323
"68",15.5195330375737,13.0000032195689,16,16.0023701602717,16,14.7755307143466
"69",14.2592759425472,9.99995920340931,16,16.2334138166431,15.5,15.2685933474578
"70",14.7330180575467,20.9999883068079,18.5,18.1328347916198,18,15.302801547929
"71",14.9799915337806,15.0001326663332,13,14.0821308023974,13,15.3233312804998
"72",16.2126325358733,12.9999963352012,20.5,19.2753310909867,19.5,16.777100060877
"73",13.4492279370056,9.500577204714,14,14.7003114793735,14.5,13.3868675037037
